StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2022-09-01,Tasmania,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,$5100.00,6
2022-12-01,Tasmania,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,$4990.00,9
2023-10-01,Tasmania,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,$2900.00,13
2021-09-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$1.00,26
2022-04-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$44812.00,25
2022-08-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$27117.00,31
2022-09-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$29784.00,21
2022-10-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$12998.00,36
2022-11-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$41050.00,39
2022-12-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$110097.00,31
2023-01-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$32737.00,45
2023-02-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$5320.00,48
2023-04-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$11452.00,16
2023-05-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$4700.00,21
2023-10-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$1950.00,27
2023-11-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$1215.00,36
2024-02-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$1929.99,19
2024-03-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$730.60,15
2024-04-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$6267.89,32
2024-05-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$27449.78,27
2024-06-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$2065.00,26
2020-12-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$6215.00,22
2021-02-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$2500.00,21
2021-06-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$13000.00,36
2022-04-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$368236.00,9
2022-08-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$2599.00,14
2022-09-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$4700.00,12
2022-11-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$62000.00,12
2023-04-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$2991.00,9
2023-05-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$5000.00,15
2023-06-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$3700.00,14
2024-03-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1335.00,14
2024-04-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$10000.00,15
2024-05-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$13055.00,14
2020-07-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$0.00,16
2020-10-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$70020.00,21
2021-01-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$200.00,10
2021-08-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$5000.00,22
2021-09-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$434.00,22
2021-10-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$3205.00,19
2022-03-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$198.00,11
