Year,Month,ReportCount
2020,01,136
2020,02,145
2020,03,128
2020,04,140
2020,05,140
2020,06,146
2020,07,169
2020,08,158
2020,09,171
2020,10,153
2020,11,162
2020,12,155
2021,01,163
2021,02,162
2021,03,162
2021,04,161
2021,05,168
2021,06,179
2021,07,189
2021,08,185
2021,09,178
2021,10,165
2021,11,177
2021,12,154
2022,01,164
2022,02,168
2022,03,180
2022,04,185
2022,05,177
2022,06,188
2022,07,206
2022,08,212
2022,09,210
2022,10,208
2022,11,213
2022,12,206
2023,01,192
2023,02,209
2023,03,221
2023,04,209
2023,05,209
2023,06,211
2023,07,219
2023,08,212
2023,09,205
2023,10,196
2023,11,192
2023,12,191
2024,01,196
2024,02,172
2024,03,186
2024,04,188
2024,05,193
2024,06,175
