Year,Month,State,ReportCount
2020,01,Australian Capital Territory,9
2020,01,New South Wales,28
2020,01,Northern Territory,3
2020,01,Outside of Australia,3
2020,01,Queensland,26
2020,01,South Australia,13
2020,01,Tasmania,8
2020,01,Victoria,27
2020,01,Western Australia,19
2020,02,Australian Capital Territory,11
2020,02,New South Wales,24
2020,02,Northern Territory,3
2020,02,Outside of Australia,5
2020,02,Queensland,25
2020,02,South Australia,18
2020,02,Tasmania,14
2020,02,Victoria,25
2020,02,Western Australia,20
2020,03,Australian Capital Territory,9
2020,03,New South Wales,22
2020,03,Northern Territory,3
2020,03,Outside of Australia,3
2020,03,Queensland,26
2020,03,South Australia,16
2020,03,Tasmania,5
2020,03,Unspecified,1
2020,03,Victoria,24
2020,03,Western Australia,19
2020,04,Australian Capital Territory,11
2020,04,New South Wales,27
2020,04,Northern Territory,4
2020,04,Outside of Australia,4
2020,04,Queensland,24
2020,04,South Australia,16
2020,04,Tasmania,9
2020,04,Victoria,25
2020,04,Western Australia,20
2020,05,Australian Capital Territory,11
2020,05,New South Wales,26
2020,05,Northern Territory,5
2020,05,Outside of Australia,4
2020,05,Queensland,21
2020,05,South Australia,18
2020,05,Tasmania,11
2020,05,Victoria,27
2020,05,Western Australia,17
2020,06,Australian Capital Territory,12
2020,06,New South Wales,30
2020,06,Northern Territory,8
2020,06,Outside of Australia,1
2020,06,Queensland,26
2020,06,South Australia,16
2020,06,Tasmania,11
2020,06,Victoria,25
2020,06,Western Australia,17
2020,07,Australian Capital Territory,10
2020,07,New South Wales,31
2020,07,Northern Territory,3
2020,07,Outside of Australia,11
2020,07,Queensland,34
2020,07,South Australia,18
2020,07,Tasmania,12
2020,07,Unspecified,2
2020,07,Victoria,30
2020,07,Western Australia,18
2020,08,Australian Capital Territory,9
2020,08,New South Wales,34
2020,08,Northern Territory,4
2020,08,Outside of Australia,6
2020,08,Queensland,28
2020,08,South Australia,19
2020,08,Tasmania,12
2020,08,Unspecified,1
2020,08,Victoria,26
2020,08,Western Australia,19
2020,09,Australian Capital Territory,10
2020,09,New South Wales,30
2020,09,Northern Territory,7
2020,09,Outside of Australia,1
2020,09,Queensland,33
2020,09,South Australia,24
2020,09,Tasmania,12
2020,09,Unspecified,1
2020,09,Victoria,32
2020,09,Western Australia,21
2020,10,Australian Capital Territory,12
2020,10,New South Wales,28
2020,10,Northern Territory,5
2020,10,Outside of Australia,1
2020,10,Queensland,24
2020,10,South Australia,25
2020,10,Tasmania,12
2020,10,Unspecified,1
2020,10,Victoria,30
2020,10,Western Australia,15
2020,11,Australian Capital Territory,9
2020,11,New South Wales,37
2020,11,Northern Territory,3
2020,11,Outside of Australia,7
2020,11,Queensland,26
2020,11,South Australia,19
2020,11,Tasmania,14
2020,11,Unspecified,1
2020,11,Victoria,27
2020,11,Western Australia,19
2020,12,Australian Capital Territory,10
2020,12,New South Wales,27
2020,12,Northern Territory,7
2020,12,Outside of Australia,4
2020,12,Queensland,27
2020,12,South Australia,23
2020,12,Tasmania,11
2020,12,Victoria,26
2020,12,Western Australia,20
2021,01,Australian Capital Territory,11
2021,01,New South Wales,36
2021,01,Northern Territory,5
2021,01,Outside of Australia,5
2021,01,Queensland,32
2021,01,South Australia,20
2021,01,Tasmania,9
2021,01,Unspecified,1
2021,01,Victoria,23
2021,01,Western Australia,21
2021,02,Australian Capital Territory,11
2021,02,New South Wales,30
2021,02,Northern Territory,5
2021,02,Outside of Australia,3
2021,02,Queensland,27
2021,02,South Australia,19
2021,02,Tasmania,13
2021,02,Unspecified,1
2021,02,Victoria,30
2021,02,Western Australia,23
2021,03,Australian Capital Territory,13
2021,03,New South Wales,31
2021,03,Northern Territory,7
2021,03,Outside of Australia,4
2021,03,Queensland,27
2021,03,South Australia,19
2021,03,Tasmania,10
2021,03,Victoria,29
2021,03,Western Australia,22
2021,04,Australian Capital Territory,12
2021,04,New South Wales,26
2021,04,Northern Territory,9
2021,04,Outside of Australia,3
2021,04,Queensland,27
2021,04,South Australia,19
2021,04,Tasmania,15
2021,04,Victoria,26
2021,04,Western Australia,24
2021,05,Australian Capital Territory,10
2021,05,New South Wales,34
2021,05,Northern Territory,7
2021,05,Outside of Australia,4
2021,05,Queensland,31
2021,05,South Australia,16
2021,05,Tasmania,13
2021,05,Victoria,30
2021,05,Western Australia,23
2021,06,Australian Capital Territory,11
2021,06,New South Wales,34
2021,06,Northern Territory,7
2021,06,Outside of Australia,5
2021,06,Queensland,30
2021,06,South Australia,19
2021,06,Tasmania,16
2021,06,Victoria,35
2021,06,Western Australia,22
2021,07,Australian Capital Territory,13
2021,07,New South Wales,40
2021,07,Northern Territory,9
2021,07,Outside of Australia,4
2021,07,Queensland,29
2021,07,South Australia,25
2021,07,Tasmania,14
2021,07,Victoria,31
2021,07,Western Australia,24
2021,08,Australian Capital Territory,14
2021,08,New South Wales,35
2021,08,Northern Territory,9
2021,08,Outside of Australia,4
2021,08,Queensland,32
2021,08,South Australia,23
2021,08,Tasmania,16
2021,08,Victoria,28
2021,08,Western Australia,24
2021,09,Australian Capital Territory,17
2021,09,New South Wales,35
2021,09,Northern Territory,7
